counter	x	y	z	robot_direction	robot_pitch	local wind direction	time	concentration	wind_speed	wind_direction	v_wind_x	v_wind_y	go_x	go_y	go_z	go_client_num	go_counter	go_concentration	
0	0	0	0.4	0	0	0	0.000000000	0	0	0	0	0	0	0	0.4	0	0	0
1	-2.09735	3.47455	0.65	-1.53111	0.5	-2.96706	1607961010.019884531	102.833	0.0533333	1.56976	0	0	0	0	0.4	0	0	0
2	-2.08373	3.01717	0.73	-1.53111	0.5	-2.9147	1607961034.719891174	106.833	0.05	-4.45275	0	0	0	0	0.4	0	0	0
3	-2.08188	2.53444	0.81	-1.53111	0.5	2.89725	1607961058.219887212	105.633	0.05	1.42777	0	0	0	0	0.4	0	0	0
4	-2.09371	2.04872	0.89	-1.53111	0.5	2.79253	1607961084.719899930	121.567	0.05	1.6581	0	0	0	0	0.4	0	0	0
5	-2.08754	1.56826	0.97	-1.53111	0.5	-2.9147	1607961109.519906540	114.933	0.05	-4.49134	0	0	0	0	0.4	0	0	0
6	-2.10115	1.05134	1.05	-1.53111	0.5	0.244346	1607961133.619892339	129.817	0.07	-1.23114	0	0	0	0	0.4	0	0	0
7	-2.08632	0.598744	1.13	-1.53111	0.5	1.62316	1607961154.219912771	175.883	0.0745	-0.050497	0.499363	-0.0252378	-2.08632	0.598744	1.13	1	7	175.883
8	-2.03178	0.465912	1.21	-0.181116	0.785398	1.11701	1607961180.719890909	173.967	0.065	-0.604762	0.411319	-0.284283	-2.08632	0.598744	1.13	1	7	175.883
9	-2.03178	0.465912	1.21	-0.280154	0	-1.02974	1607961203.819920776	144.333	0.0561666	-1.03237	-0.219077	0.120438	-2.08632	0.598744	1.13	1	7	175.883
10	-2.03178	0.465912	1.13	0.60811	-0.785398	1.18682	1607961230.619842258	160.1	0.08	0.596606	0.413624	0.280919	-2.08632	0.598744	1.13	1	7	175.883
11	-2.03178	0.465912	1.05	1.9169	-0.86134	0.0872665	1607961257.119903065	160.233	0.08	-0.825256	0.339184	-0.367361	-2.08632	0.598744	1.13	1	7	175.883
12	-2.03178	0.465912	1.13	1.87106	0.866984	0.0872665	1607961284.519886314	200.967	0.08	-0.825256	0.339184	-0.367361	-2.03178	0.465912	1.13	1	12	200.967
13	-2.03178	0.465912	1.2	-0.770056	0.71883	1.53589	1607961310.419895334	187.85	0.077	-0.258606	0.483374	-0.127866	-2.03178	0.465912	1.13	1	12	200.967
14	-2.03178	0.465912	1.22	-1.53111	-0.785398	1.8675	1607961336.319885728	200.15	0.05	0.95498	-0.219077	-0.120438	-2.03178	0.465912	1.22	1	14	200.15
15	-2.03186	0.466013	1.14	-1.53111	-0.785398	2.02458	1607961360.919902964	181.783	0.0571666	1.15121	-0.0313333	-0.248029	-2.03178	0.465912	1.22	1	14	200.15
16	-2.03186	0.466013	1.06	-1.53111	-0.785398	0.506145	1607961383.419886105	196.767	0.08	-0.410565	0.458448	-0.199564	-2.03178	0.465912	1.22	1	14	200.15
17	-2.03181	0.465946	0.98	-1.53111	-0.785398	1.76278	1607961409.419902830	194.383	0.058	0.763226	-0.219077	0.120438	-2.03178	0.465912	1.22	1	14	200.15
18	-2.03181	0.465946	0.9	-1.53111	-0.785398	1.8675	1607961432.119907743	174.067	0.0905	0.929614	0.299071	0.400695	-2.03178	0.465912	1.22	1	14	200.15
19	-1.96696	0.331062	0.82	-1.53111	-0.785398	1.44862	1607961459.519990039	188.6	0.0686667	-0.501101	0.438527	-0.240196	-2.03178	0.465912	1.22	1	14	200.15
20	-1.96696	0.331062	0.74	-1.53111	-0.785398	3.00197	1607961486.419992944	179.817	0.05	1.73001	-0.242146	0.0621725	0.262664	-2.22513	0.75	2	20	186.567
21	-1.96696	0.331062	0.66	-0.850621	-0.785398	3.08923	1607961512.419906169	158.55	0.0738333	1.63897	-0.034058	0.498839	0.605124	-2.52641	0.67	2	21	284.167
22	-1.9664	0.329269	0.6	-0.674002	-0.643501	1.71042	1607961539.519885095	160.367	0.0533333	1.23393	-0.159356	-0.192628	1.07036	-2.41284	0.67	2	22	540.483
23	-1.9664	0.329269	0.68	-1.9029	0.785398	0.680678	1607961567.519884848	178.967	0.114	-0.141388	0.495011	-0.0704589	1.07036	-2.41284	0.67	2	22	540.483
24	-1.9664	0.329269	0.76	-0.593473	0.785398	1.81514	1607961593.819892548	200.75	0.07	0.472385	0.445243	0.227506	0.628347	-2.21583	0.69	3	24	544.833
25	-1.9664	0.329269	0.81	-0.66499	0.558599	2.6529	1607961621.419903024	169.767	0.05	0.809815	0.248029	0.0313333	0.628347	-2.21583	0.69	3	24	544.833
26	-1.9664	0.329269	0.73	-0.512295	-0.785398	2.72271	1607961648.219883134	154.85	0.05	1.1135	0.159356	-0.192628	0.628347	-2.21583	0.69	3	24	544.833
27	0	0	0.4	0	0	0	0.000000000	0	0	0	0	0	0	0	0.4	0	0	0
28	0	0	0.4	0	0	0	0.000000000	0	0	0	0	0	0	0	0.4	0	0	0
29	0	0	0.4	0	0	0	0.000000000	0	0	0	0	0	0	0	0.4	0	0	0
