algorithm_type = PMPSO
robot_id = 1
max counter = 28
change counter = 11
20201211137
counter	x	y	robot_direction	local wind direction	time	PM25	wind_speed	wind_direction	v_wind_x	v_wind_y	go_x	go_y	go_client_num	go_counter	go_PM25	
0	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
1	-2.1142	3.47456	-1.53959	0	1606753638.219627255	40	0	-1.53959	0	0	0	0	0	0	0
2	-2.11019	3.11034	-1.53959	0	1606753650.519623599	43	0	-1.48302	0	0	0	0	0	0	0
3	-2.10952	2.73567	-1.53959	0	1606753662.919651007	43	0	-1.45211	0	0	0	0	0	0	0
4	-2.09919	2.36281	-1.53959	0	1606753673.919643198	43	0	-1.54991	0	0	0	0	0	0	0
5	-2.09707	1.99142	-1.53959	0	1606753685.219642262	40	0	-1.46497	0	0	0	0	0	0	0
6	-2.10002	1.62547	-1.53959	0	1606753696.419628959	40	0	-1.4114	0	0	0	0	0	0	0
7	-2.09487	1.26569	-1.53959	0	1606753706.919640996	37	0	-1.4349	0	0	0	0	0	0	0
8	-2.09423	0.906687	-1.53959	0	1606753719.919645999	40	0	-1.52216	0	0	0	0	0	0	0
9	-2.10056	0.53678	-1.53959	0	1606753730.619624035	40	0	-1.53226	0	0	0	0	0	0	0
10	-2.10028	0.168843	-1.53959	0	1606753748.219639991	46	0	-1.50134	0	0	0	0	0	0	0
11	-2.09393	-0.195164	-1.53959	0	1606753765.519642644	53.56	0	-1.52512	-0.127485	0.154103	0.259983	0.652444	2	11	169.6
12	-1.7115	-0.182719	0.1077	0	1606753779.219642455	82.8	0	0.148628	0.180965	-0.0851559	0.178419	0.288529	2	12	266.84
13	-1.34752	-0.140557	0.132368	0	1606753791.419643730	124.88	0	0.122296	-0.049738	-0.193717	0.0242803	-0.0457633	2	13	289
14	-0.983088	-0.128331	0.0501094	0	1606753805.719641940	75.36	0	0.0886822	0.049738	0.193717	0.0242803	-0.0457633	2	13	289
15	-0.6232	-0.231653	-0.289585	0	1606753818.619641030	133.58	0	-0.217662	-0.193717	0.049738	0.0242803	-0.0457633	2	13	289
16	-0.842759	-0.315542	0.381931	0	1606753836.519626321	171.36	0	4.74756	0.145794	-0.136909	-0.178358	-0.276558	2	16	327.82
17	-0.68607	-0.165963	0.673512	0	1606753854.319643636	136.8	0	0.621491	-0.161803	-0.117557	0.0705122	-0.017513	2	17	436.74
18	-0.399433	0.0621097	0.616746	0	1606753872.319629468	184.66	0	0.332146	0.117557	0.161803	0.0705122	-0.017513	2	17	436.74
19	-0.618288	0.0357631	0.124325	0	1606753889.819632742	102.5	0	-2.97627	0.107165	-0.168866	0.0705122	-0.017513	2	17	436.74
20	-0.75657	-0.27962	-1.92158	0	1606753907.019626416	90.54	0	-1.8591	-0.168866	-0.107165	0.0131709	0.829942	3	20	462.04
21	-0.537888	0.0171216	0.905232	0	1606753923.419627951	150.96	0	0.934772	-0.154103	-0.127485	0.0131709	0.829942	3	20	462.04
22	-0.704254	-0.10787	0.780821	0	1606753940.519644796	59.24	0	-2.25768	0.145794	-0.136909	0.0131709	0.829942	3	20	462.04
23	-0.816076	-0.221745	0.837023	0	1606753955.719624329	58	0	-2.22757	-0.136909	0.145794	0.0131709	0.829942	3	20	462.04
24	-0.821242	-0.117697	0.669628	0	1606753972.219643533	54	0	1.92535	-0.107165	-0.168866	0.0131709	0.829942	3	20	462.04
25	-0.52086	0.0793904	0.559538	0	1606753989.919650076	66.4	0	0.651328	0.0963507	0.175261	0.0131709	0.829942	3	20	462.04
26	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
28	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
