algorithm_type = PMPSO
robot_id = 3
max counter = 28
change counter = 11
20201211137
counter	x	y	robot_direction	local wind direction	time	PM25	wind_speed	wind_direction	v_wind_x	v_wind_y	go_x	go_y	go_client_num	go_counter	go_PM25	
0	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
1	-1.00106	4.53007	-0.621459	-0.226893	1606793565.400172559	55.26	0.05	-0.639609	0	0	0	0	0	0	0
2	-0.714547	4.30882	-0.621459	-0	1606793579.500189600	57	0.05	-0.53902	0	0	0	0	0	0	0
3	-0.420954	4.08763	-0.621459	1.62316	1606793592.000189615	60.66	0.08	1.06311	0	0	0	0	0	0	0
4	-0.119041	3.86093	-0.621459	-2.40855	1606793603.100192108	64.3	0.06	-3.05719	0	0	0	0	0	0	0
5	0.168651	3.64455	-0.621459	2.61799	1606793614.800181562	64	0.07	2.03205	0	0	0	0	0	0	0
6	0.448567	3.42378	-0.621459	-0.698132	1606793625.400192373	60.56	0.0508	2.96099	0	0	0	0	0	0	0
7	0.743018	3.20233	-0.621459	-2.32129	1606793636.600175323	55.54	0.0592	-2.09665	0	0	0	0	0	0	0
8	1.04251	2.97144	-0.621459	-1.43117	1606793648.900190235	52.58	0.0626	-2.32934	0	0	0	0	0	0	0
9	1.34367	2.7492	-0.621459	2.51327	1606793659.500178504	54.68	0.074	1.45299	0	0	0	0	0	0	0
10	1.39983	2.71665	-0.621459	-0.680678	1606793676.900187074	58	0.0602	3.64274	0	0	0	0	0	0	0
11	1.07468	2.4921	-2.52013	-0.0174533	1606793694.300190434	59.44	0.06	-2.5171	0.0374763	0.196457	0.259983	0.652444	2	11	169.6
12	0.872957	2.17118	-2.10031	-3.12414	1606793709.100173095	52	0.06	-5.1803	-0.0851559	-0.180965	0.178419	0.288529	2	12	266.84
13	0.691858	1.85382	-2.05167	-3.08923	1606793720.400179774	55	0.0928	-4.91055	0.0787463	0.392172	0.0242803	-0.0457633	2	13	289
14	0.581662	1.51003	-1.86442	0.139626	1606793734.500191738	64.38	0.09	-1.68813	-0.0468273	-0.39725	0.0242803	-0.0457633	2	13	289
15	0.417949	1.16555	-2.01195	-2.89725	1606793748.600193733	182.5	0.05	-4.95045	0.0736249	-0.185955	0.0242803	-0.0457633	2	13	289
16	0.308299	0.822279	-1.84125	-2.84489	1606793766.300183253	212.76	0.05	-4.5952	1.22465e-17	-0.2	-0.178358	-0.276558	2	16	327.82
17	0.139353	0.496357	-2.07478	-0.855211	1606793784.000173136	213.4	0.0734	-3.45665	-0.380311	0.12395	0.0705122	-0.017513	2	17	436.74
18	0.0671914	0.704843	-1.0953	-2.35619	1606793801.300191500	136.02	0.0596	4.9902	0.196457	0.0374763	0.0705122	-0.017513	2	17	436.74
19	-0.0133991	0.606802	-2.57439	-0.10472	1606793818.700192189	203.16	0.156	-2.7301	-0.36661	-0.15999	0.0705122	-0.017513	2	17	436.74
20	0.0131709	0.829942	-1.76971	-0.628319	1606793836.300195553	462.04	0.0636	0.802234	0.278041	0.287564	0.0131709	0.829942	3	20	462.04
21	0.0211862	0.992053	1.64774	-0.349066	1606793853.000190618	78.64	0.16	1.37634	0.0772943	0.392461	0.0131709	0.829942	3	20	462.04
22	0.0905648	1.16553	1.08615	-0.471239	1606793870.400178993	146.3	0.05	0.564116	0.185955	-0.0736249	0.0131709	0.829942	3	20	462.04
23	0.425047	0.965608	-0.508257	1.90241	1606793884.900191685	112.56	0.06	1.37357	0.193717	-0.049738	0.0131709	0.829942	3	20	462.04
24	0.326498	0.908899	-2.73567	0.191986	1606793902.000186736	200.72	0.07	-2.5705	-0.336523	-0.216222	0.0131709	0.829942	3	20	462.04
25	-0.0116111	0.741706	-2.67974	0.191986	1606793919.900191387	150.9	0.0999999	-2.5249	-0.326319	-0.231335	0.0131709	0.829942	3	20	462.04
26	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
28	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
